ID,Mash ID,Name,Type,Temp Â©,Time(min),Ramp Time(min)
9471959a-e7e2-4bc4-9f8b-afed5486096e,9883e9aa-a874-4828-9bd3-f6d7c646d1e0,,Temperature,65,60,
308a8db2-8a87-4c51-98e3-09d84dcd3b23,0c31cde0-9295-4035-b5a4-63d3f0525cbc,,Temperature,65,60,
ae382da8-ee97-4801-a769-bf0868af382e,0c31cde0-9295-4035-b5a4-63d3f0525cbc,Mash Out,Temperature,75,10,
607d4a85-f88d-4a85-b7a3-149cda9729e2,b23e23b8-439a-4fb0-933f-3f83b0a699cc,Phytase,Temperature,35,0,
9d8113e3-a75b-4cfb-8981-9baef29547db,b23e23b8-439a-4fb0-933f-3f83b0a699cc,Glucanase,Temperature,45,0,
4169e507-2405-4cd7-9f65-3ca3bfb80907,b23e23b8-439a-4fb0-933f-3f83b0a699cc,Protease,Temperature,55,0,
425ea407-1b5f-413e-8f0a-f589c3b0fc1f,b23e23b8-439a-4fb0-933f-3f83b0a699cc,B-amylase,Temperature,65,60,
1f298af2-e411-4398-8779-d16b2eafd559,b23e23b8-439a-4fb0-933f-3f83b0a699cc,A-amylase 1,Temperature,68,0,
de479851-a913-492e-a6c9-4062da46a588,b23e23b8-439a-4fb0-933f-3f83b0a699cc,A-amylase 2,Temperature,70,0,
1057d76c-9eea-4b9d-8634-110bba711248,b23e23b8-439a-4fb0-933f-3f83b0a699cc,Mash out,Temperature,75,10,
c7514ee4-404a-427d-9fdf-7cd1bdc1bd6f,d03bf0ed-8ef1-444f-9e2e-36b2dcb4cee6,,Temperature,63,30,
91e70ac0-423e-48ba-8f1f-19f40da6ea91,d03bf0ed-8ef1-444f-9e2e-36b2dcb4cee6,,Temperature,70,30,
b75b5ff9-84b2-4c0e-b476-a57198d66865,39751c24-e635-40ad-ad42-1b78162aff57,,Temperature,67,45,
14552f75-8c38-41e6-a2c5-c113e0de86fe,d391c0fb-9997-43fb-a57c-4690acd0ae66,,Temperature,70,30,
3d0c76c3-4da1-4c17-88fc-c8f499a66815,63e0b76e-771a-4158-8aef-628e78f8cd0c,,Temperature,50,15,
99e32cb1-c77d-4a44-9c57-ab73c9956ede,63e0b76e-771a-4158-8aef-628e78f8cd0c,,Temperature,63,30,
03d311aa-670b-4522-989d-c1fd28e8d75d,63e0b76e-771a-4158-8aef-628e78f8cd0c,,Temperature,70,30,
07b2da15-deec-4aab-8a9d-461903bf69dc,88d8b8e6-c46c-4349-ae28-388075459402,,Temperature,40,15,
1bef1f13-01de-4793-bdc5-c555c2070b58,88d8b8e6-c46c-4349-ae28-388075459402,,Temperature,50,15,
8aa2a124-575e-43e9-bc05-938bd2268052,88d8b8e6-c46c-4349-ae28-388075459402,,Temperature,63,30,
0ed24907-1cd7-4af0-bd93-a6d3bbedad09,88d8b8e6-c46c-4349-ae28-388075459402,,Temperature,70,30,
79f92eca-b533-472b-acaa-ca765520187f,af3e92ef-5f93-479c-a428-1a8e167a8a9f,,Temperature,60,30,
f1ff90dd-4e16-442e-840e-b1dc3cb3af01,af3e92ef-5f93-479c-a428-1a8e167a8a9f,,Temperature,70,30,
