ID,style,name,Original Gravity (°Plato) ,,Original Gravity (°Plato) ,,Alcohol by Weight (Volume) ,,Bitterness (IBU),,Color SRM (EBC),,Color,Clarity,Perceived Malt Aroma & Flavor,Perceived Hop Aroma & Flavor,Perceived Bitterness,Fermentation Characteristics,Body,Additional notes
18,All Origin Hybrid/Mixed Lagers or Ale,Specialty Honey Beer,Original Gravity (°Plato) 1.030-1.110 (7.6-25.9 °Plato), ,Apparent Extract/Final Gravity (°Plato) 1.006-1.030 (1.5-7.6 °Plato), ,Alcohol by Weight (Volume) 2.0%-9.5% (2.5%-12.0%), ,Bitterness (IBU) 1-100, ,Color SRM (EBC) 1-100(2-200 EBC),, Very light to black depending on underlying style, Clear to hazy is acceptable, Varies depending on intention of brewer, Very low to very high, Very low to very high, Honey Beers may be brewed to a traditional style or may be experimental. Honey Beers incorporate honey as a fermentable sugar in addition to malted barley. Honey character should be present in aroma and ﬂavor but should not be overpowering., Varies with underlying style,
19,All Origin Hybrid/Mixed Lagers or Ale,Rye Beer,Original Gravity (°Plato) Varies with style ,,Apparent Extract/Final Gravity (°Plato) Varies with style ,,Alcohol by Weight (Volume) Varies with style ,,Bitterness (IBU) Varies with style, ,Color SRM (EBC) Varies with style,," A wide range of color is acceptable. Lighter versions are straw to copper, while darker versions are dark amber to dark brown."," Chill haze is acceptable in versions packaged and served without yeast. In versions served with yeast, appearance may range from hazy to very cloudy."," In darker versions, malt aromas and ﬂavors can optionally include low roasted malt character expressed as cocoa/chocolate or caramel. Aromatic toffee, caramel, or biscuit character may also be present. Low level roastiness, graininess, or tannin astringency is acceptable when balanced with low to medium malt sweetness.", Low to medium-high, Low to medium, Low levels of spicy and fruity ester aromas are typical. Yeast-derived aroma and flavor attributes such as clove-like or other phenolics may be present when consistent with underlying beer style. These beers can be fermented with either ale or lager yeast. Diacetyl should not be present. Low to medium yeast aroma may be present in versions packaged with yeast., Low to medium. Rye can impart textural qualities ranging from dry and crisp to smooth and velvety., The grist should include sufﬁcient rye so that rye character is evident in the beer. Rye character is often described as spicy and/or black pepper-like and/or earthy. Beers brewed with rye that do not exhibit rye character should be categorized in other beer styles. Versions served with yeast should possess a full yeasty mouthfeel.
20,All Origin Hybrid/Mixed Lagers or Ale,Brett Beer,Original Gravity (°Plato) Varies with style ,,Apparent Extract/Final Gravity (°Plato) Varies with style ,,Alcohol by Weight (Volume) Varies with style ,,Bitterness (IBU) Varies with style, ,Color SRM (EBC) Varies with style,, Any color is acceptable. Beer color may be influenced by the color of added fruits or other ingredients., Chill haze and/or haze from yeast is allowable at low to medium levels at any temperature," In darker versions, roasted malt, caramel and chocolate aromas and ﬂavors are present at low levels.", Low to high, Low to high," Medium to high fruity esters are present. Acidity resulting from Brettanomyces fermentation results in a complex flavor profile. Brettanomyces character, at low to high levels, should be present and expressed as horsey, goaty, leathery, phenolic, fruity and/or acidic aromas and flavors. Brettanomyces character may or may not be dominant. Acidity from Brettanomyces should be low to medium-low. Cultured yeast strains may be used in the fermentation. Beers fermented with Brettanomyces that do not exhibit attributes typical of Brettanomyces fermentation are categorized elsewhere. Beers in this style should not incorporate bacteria or exhibit a bacteria-derived flavor profile. Diacetyl and DMS should not be present.", Low to high," Fruited versions will exhibit fruit ﬂavors in balance with other elements. Wood vessels may be used for fermentation and aging, but wood- derived ﬂavors and aromas such as vanillin should not be present. Residual ﬂavors and aromas originating from liquids previously aged in a barrel (bourbon, sherry, etc.) should not be present. Versions exhibiting attributes derived from wood or liquids previously aged in wood are categorized in Wood-Aged Beer categories. Sour wood- and barrel-aged versions are categorized in Wood-Aged Sour Beer categories. Entries exhibiting additional sensory attributes characteristic arising from microbes other than Brett are categorized as Mixed Culture Brett Beer."
21,All Origin Hybrid/Mixed Lagers or Ale,Mixed-Culture Brett Beer,Original Gravity (°Plato) Varies with style ,,Apparent Extract/Final Gravity (°Plato) Varies with style ,,Alcohol by Weight (Volume) Varies with style ,,Bitterness (IBU) Varies with style, ,Color SRM (EBC) Varies with style,, Any color is acceptable. Beer color may be influenced by the color of added fruits or other ingredients.," Chill haze, bacteria and yeast-induced haze is allowable at low to medium levels at any temperature."," In darker versions, roasted malt, caramel and chocolate aromas and ﬂavors are present at low levels.", Low to high, Low to high," Medium to high fruity esters are present. Acidity resulting from fermentation with Brettanomyces and/or bacteria results in a complex flavor profile. Brettanomyces character should be present and expressed as horsey, goaty, leathery, phenolic, fruity and/or acidic aromas and flavors. Cultured yeast may be used in the fermentation. Bacteria should be incorporated and in evidence. Bacteria will contribute acidity which may or may not dominate the flavor profile. Diacetyl and DMS should not be present.", Low to high," Fruited versions will exhibit fruit ﬂavors in balance with other elements. Wood vessels may be used for fermentation and aging, but wood-derived aromas and ﬂavors such as vanillin should not be present. Versions exhibiting attributes derived from wood or liquids previously aged in wood are categorized in Wood-Aged Beer categories. Sour wood- and barrel-aged versions are categorized in Wood-Aged Sour Beer categories."
22,All Origin Hybrid/Mixed Lagers or Ale,Ginjo Beer or Sake-Yeast Beer,Original Gravity (°Plato) 1.040-1.090 (10-21.6 °Plato), ,Apparent Extract/Final Gravity (°Plato) 1.008-1.020 (2.1-5 °Plato), ,Alcohol by Weight (Volume) 3.4%-8.2% (4.3%-10.2%), ,Bitterness (IBU) 12-35, ,Color SRM (EBC) 4-20(8-40 EBC),, Pale to dark brown, Slight chill haze is acceptable, Very low to medium, Low to medium and in harmony with sake-like character, Low to medium and in harmony with sake-like character," These beers are brewed with sake yeast or sake (koji) enzymes. The unique byproducts of sake yeast and/or koji enzymes should be distinctive and in harmony with other elements. Sake character may best be described as having mild fruitiness and mild earthiness, with mushroom and/or an umami protein-like character. A high amount of alcohol may be evident.", Varies depending on original gravity. Mouthfeel also varies., High carbonation should be present.
23,All Origin Hybrid/Mixed Lagers or Ale,Fresh Hop Beer,Original Gravity (°Plato) Varies with style ,,Apparent Extract/Final Gravity (°Plato) Varies with style ,,Alcohol by Weight (Volume) Varies with style ,,Bitterness (IBU) Varies with style, ,Color SRM (EBC) Varies with style,, Varies with underlying style, Chill haze is acceptable at low temperatures. Hop haze is allowable at any temperature., Varies with underlying style," Fresh hop aroma and ﬂavor is prominent exhibiting green grass-like, fresh mown hay/grass or other fresh hop attributes.", Varies with underlying style, Fruity esters may present at levels consistent with the underlying beer style being made with fresh hops, Varies with underlying style," These ales or lagers are brewed with freshly harvested hops. Such hops might be undried fresh or frozen cones or ground material, or, freshly kilned dried cones or pellets. These beers are typically consumed while fresh to highlight bright fresh hop attributes. Aging these beers will typically modify and reduce fresh-hop characters resulting in unique flavor outcomes."
24,All Origin Hybrid/Mixed Lagers or Ale,Wood- and Barrel-Aged Beer,Original Gravity (°Plato) Varies with style ,,Apparent Extract/Final Gravity (°Plato) Varies with style ,,Alcohol by Weight (Volume) Varies with style ,,Bitterness (IBU) Varies with style, ,Color SRM (EBC) Varies with style,, Varies with underlying style and can be influenced by the color of added fruit(s) if any, Varies with underlying style, Varies with underlying style, Varies with underlying style, Varies with underlying style, Typical of underlying style of beer being aged, Varies with underlying style," These are any traditional or experimental style of lager, ale or hybrid beer aged in either a wooden barrel or in contact with wood. These beers are aged with the intention of developing unique attributes imparted by the wood and/or liquids that had previously been stored in contact with the wood. Wood aging does not necessarily impart wood ﬂavors, but does result in distinctive sensory outcomes. Used sherry, rum, whiskey, tequila, port, wine and other barrels are often used, imparting complexity and uniqueness to a beer. A balance of ﬂavor, aroma and mouthfeel results from the marriage of new beer with attributes imparted by the wood or barrel. Wood-Aged Beers may or may not have Brettanomyces character."
25,All Origin Hybrid/Mixed Lagers or Ale,Wood- and Barrel-Aged Sour Beer,Original Gravity (°Plato) Varies with style ,,Apparent Extract/Final Gravity (°Plato) Varies with style ,,Alcohol by Weight (Volume) Varies with style ,,Bitterness (IBU) Varies with style, ,Color SRM (EBC) Varies with style,, Varies with underlying style and can be influenced by the color of added fruit(s) if any, Varies with underlying style, Varies with underlying style, Varies with underlying style, Varies with underlying style, Typical of underlying style of sour beer being aged, Varies with underlying style," These are any traditional or experimental style of lager, ale or hybrid beer aged in either a wooden barrel or in contact with wood, and exhibiting acidity derived from exposure to bacteria. These beers are aged in the presence of microflora (either present in the wood or introduced at some time in the brewing process) with the intention of introducing sourness to the beer. These beers are aged with the intention of developing unique attributes imparted by the wood and/or by liquids that had previously been stored in contact with the wood. Wood aging does not necessarily impart wood ﬂavors but does result in distinctive sensory outcomes. Used sherry, rum, whiskey, tequila, port, wine and other barrels are often used, imparting complexity and uniqueness to a beer. A balance of aroma, ﬂavor and mouthfeel results from the marriage of new beer with attributes imparted by the wood or barrel, and with sourness and/or other attributes derived from bacteria. These beers may or may not have Brettanomyces character. For purposes of competition, entries made with fruit are categorized as Fruited Wood-Aged Sour Beer. Entries made with spices are categorized as Herb/Spice Beers. Entries made with combinations of and or fruit(s) and or spices and or other ingredients, and which therefore represent combinations of multiple hybrid beer styles, are categorized as Experimental Beer."
26,All Origin Hybrid/Mixed Lagers or Ale,Aged Beer,Original Gravity (°Plato) Varies with style ,,Apparent Extract/Final Gravity (°Plato) Varies with style ,,Alcohol by Weight (Volume) Varies with style ,,Bitterness (IBU) Varies with style, ,Color SRM (EBC) Varies with style,, Varies with underlying style, Varies with underlying style, Varies with underlying style, Varies with underlying style, Varies with underlying style," Aged Beers are any beers aged for over one year. A brewer may brew any type of beer of any strength and enhance its character with various aging conditions for an extended time. In general, beers with high hopping rates, roast malt, high alcohol content, and/or complex herbal, smoke or fruit character are the best candidates for aging. Aged Beers may be aged in bottles, cans, kegs or other non-wooden vessels. Aged character may be expressed in mouthfeel, aroma and ﬂavor. Often, aged character is the result of oxidative reactions that either bring individual flavor components into harmony or are unique flavors unto themselves. Sherry-like and fruity flavors often develop during aging, and hop character often changes. No matter what the effect, the overall character should be balanced and without aggressive flavors. The level of change created by aging will vary with the duration of aging and the underlying beer style. Mildly-ﬂavored beers are more likely to develop aggressive and unpleasant oxidation. Positive transformations are more likely to occur in beers with higher levels of hops, malt and/or alcohol.", Varies with underlying style," Within the framework of these guidelines, Wood-Aged Beers, Brett Beers, Sour Beers or beers exhibiting attributes of aging in the presence of any microflora must be categorized elsewhere. Beers which have undergone aging but which nevertheless do not display characteristics of aging would be more appropriately categorized within their base styles."
27,All Origin Hybrid/Mixed Lagers or Ale,Experimental Beer,Original Gravity (°Plato) Varies widely ,,Apparent Extract/Final Gravity (°Plato) Varies widely ,,Alcohol by Weight (Volume) Varies widely ,,Bitterness (IBU) Varies widely, ,Color SRM (EBC) Varies widely,, May vary widely with ingredients used, Varies with ingredients used and brewing process, May vary widely with ingredients used and brewing process, May vary widely with ingredients used and brewing process, May vary widely with ingredients used and brewing process, Will vary widely depending on the nature of the techniques and/or ingredients used to create the beer, May vary widely with ingredients used and brewing process," Experimental beers are beers that either 1. employ unique and unusual techniques and/or ingredients; or 2. beers that don’t meet the criteria of individual existing categories, representing a combination of two or more hybrid, specialty or classic categories. Experimental beers are primarily grain-based with a minimum of 51% of fermentable carbohydrates derived from malted grains. Beers produced using non-experimental techniques and/or ingredients are considered experimental beers if their properties overlap two or more existing categories and exhibit the distinctive characteristics of each of those categories. Uniqueness is the primary consideration when evaluating this category. Within the framework of these guidelines, ﬁeld, fruit, chocolate, coffee, spice, specialty, wood-aged or other beers that fit within another individual category should not be categorized as experimental beers."
28,All Origin Hybrid/Mixed Lagers or Ale,Experimental India Pale Ale,Original Gravity (°Plato) 1.060-1.100 (14.7-23.7 °Plato), ,Apparent Extract/Final Gravity (°Plato) 0.994-1.020 (-1.6-5.1 °Plato), ,Alcohol by Weight (Volume) 5.0%-8.4% (6.3%-10.6%), ,Bitterness (IBU) 30-100, ,Color SRM (EBC) 4-40(8-80 EBC),," Pale to very dark, varying widely with ingredients used"," May range from clear to very high degree of cloudiness. Starch, yeast, hop, protein and/or other compounds can contribute to a wide range of hazy appearance within this category"," Very low to medium-low malt aroma and flavor may be present, and may exhibit attributes typical of various adjuncts and specialty malts"," Medium to very high hop aroma and flavor are present, with attributes typical of hops from any origin", Low to very high," Fruity esters are low to high and may contribute to an overall highly fruity impression regardless of the presence or absence of fruit(s) used and can contribute to the perception of sweetness and be complementary to the hop profile. Yeast choices can vary widely as can sensory outcomes; very low to low phenolic or other attributes typical of wine, champagne or Brettanomyces yeast strains may be present but are not required. Carbonation can range from average to high, with higher levels often associated with a crisp mouthfeel. Diacetyl and DMS should not be present."," Very low to medium, depending on grist and yeast choice, enzymatic treatment, finishing adjunct(s) and other fermentation parameters. Mouthfeel can vary widely from light to full and from dry to silky."," Beers in this category recognize the cutting edge of American IPA brewing. Experimental India Pale Ales are either 1) any of White, Red, Brown, Brut or many other IPA or Imperial IPA types or combinations thereof currently in production, and fruited or spiced versions of these, or 2) fruited or spiced versions of classic American, Juicy Hazy, and Imperial IPA categories. They range widely in color, hop and malt intensity and attributes, hop bitterness, balance, alcohol content, body and overall flavor experience. Black versions of India Pale Ale that do not meet the specifications for American-Style Black Ale may be considered Experimental India Pale Ale. Fruited and spiced versions exhibit attributes typical of those ingredients, in harmony with hop impression and overall flavor experience. Lactose may be used to enhance body and balance. Lactose should not lend to, or overwhelm, the flavor character of these beers. Classifying these beers can be complex. Wood- and barrel-aged entries which exhibit attributes of wood aging should be categorized as various wood- and barrel-aged beers. Within the framework of these guidelines, nuts generally impart much more ﬂavor than fermentables, and beers containing nuts are categorized as Field Beers. Likewise, within the framework of these guidelines, coconut is deﬁned as a vegetable, so entries containing coconut are categorized as Field Beers. Entries brewed with honey are categorized as Specialty Honey Beers. Spiced or fruited versions of these beers made with unusual fermentables are categorized as Experimental Beers as they represent a combination of multiple hybrid categories."
29,All Origin Hybrid/Mixed Lagers or Ale,Historical Beer,Original Gravity (°Plato) Varies with style ,,Apparent Extract/Final Gravity (°Plato) Varies with style ,,Alcohol by Weight (Volume) Varies with style ,,Bitterness (IBU) Varies with style, ,Color SRM (EBC) Varies with style,, Varies with underlying style, Varies with underlying style, Varies with underlying style, Varies with underlying style, Varies with underlying style, Varies with underlying style, Varies with underlying style," Beers in this category include established historical beers and/or brewing traditions from any era or part of the world that don’t fit within another beer style defined within these guidelines. Some Historical beers that could fit categories such as Experimental, Herb & Spice, Field Beer, etc. may be categorized as historical beers. This category pays tribute to beers that incorporate unique brewing ingredients and/or techniques that were used in the past. Within the framework of these guidelines, examples of Historical Beers include South American Chicha, Nepalese Chong/Chang, African sorghum-based beers and many others."
30,All Origin Hybrid/Mixed Lagers or Ale,Wild Beer,Original Gravity (°Plato) Varies with style ,,Apparent Extract/Final Gravity (°Plato) Varies with style ,,Alcohol by Weight (Volume) Varies with style ,,Bitterness (IBU) Varies with style, ,Color SRM (EBC) Varies with style,, Any color is acceptable. Versions made with fruits or other flavorings may take on corresponding hues.," Clear or hazy due to yeast, chill haze or hop haze."," Generally, these beers are highly attenuated resulting in very low to low malt character. Maltier versions should display good overall balance with other flavor components.", Very low to high, Very low to low," Aromas may vary significantly due to fermentation attributes contributed by various known and unknown microorganisms. The overall balance should be complex and balanced. Wild beers are spontaneously fermented with microorganisms that the brewer has introduced from the ambient air/environment near the brewery in which the beer is brewed. Wild Beers may not be fermented with any cultured strains of yeast or bacteria. Wild Beers may or may not be perceived as acidic. They may include a highly-variable spectrum of ﬂavors and aromas derived from the wild microorganisms with which they are fermented. The overall balance of ﬂavors, aromas, appearance and body are important factors in assessing these beers.", Very low to medium," Spontaneously fermented beers with fruit, spice or other ingredients should be categorized as Wild Beers. Within the framework of these guidelines, beers which hew to classic or traditional categories such as Belgian-Style Lambic, Gueuze, Fruit Lambic, etc. should be categorized as such, rather than as Wild Beers."
31,All Origin Hybrid/Mixed Lagers or Ale,Smoke Beer,Original Gravity (°Plato) Varies with style ,,Apparent Extract/Final Gravity (°Plato) Varies with style ,,Alcohol by Weight (Volume) Varies with style ,,Bitterness (IBU) Varies with style, ,Color SRM (EBC) Varies with style,," Any beer of any style incorporating smoke, and therefore may range from very light to black", Varies with underlying beer style, Varies with underlying beer style, Varies with underlying beer style, Varies with underlying beer style," For Smoke Beers based on lager styles, any phenolic notes (if present) should be derived from smoke; in such lagers yeast-derived phenolics should not be present.", Varies with underlying beer style, Any style of beer can be smoked. The goal is to reach a balance between the style’s character and the smoky properties. Any smoke beer that does not fit other smoke beer categories are appropriately categorized here.
32,All Origin Hybrid/Mixed Lagers or Ale,Other Strong Ale or Lager,Original Gravity (°Plato) Varies with style ,,Apparent Extract/Final Gravity (°Plato) Varies with style ,,Alcohol by Weight (Volume) 6.4%+ (8%+) ,,Bitterness (IBU) Varies with style, ,Color SRM (EBC) Varies with style,, Varies with underlying style, Varies with underlying style, Varies with underlying style, Varies with underlying style, Varies with underlying style," Within the framework of these guidelines, beers of any style intentionally brewed to a higher alcohol content than defined within that style’s guidelines are categorized as Other Strong Beer. These beers should achieve a balance between the style’s characteristics and the additional alcohol.", Varies with underlying style,
33,All Origin Hybrid/Mixed Lagers or Ale,Gluten-Free Beer,Original Gravity (°Plato) Varies with style ,,Apparent Extract/Final Gravity (°Plato) Varies with style ,,Alcohol by Weight (Volume) Varies with style ,,Bitterness (IBU) Varies with style, ,Color SRM (EBC) Varies with style,, Varies with underlying style, Varies with underlying style, Varies with underlying style, Varies with underlying style, Varies with underlying style," Although brewers may design and identify these beers according to defined style guidelines, these beers should be evaluated on their own merits without strict adherence to defined style parameters.", Varies with underlying style," This category includes lagers, ales or other beers made from fermentable sugars, grains and converted carbohydrates and must also include some portion of cereal. All ingredients must be free of gluten. Within the framework of these guidelines, beers brewed with barley, wheat, spelt, rye, and other gluten-containing ingredients may not be categorized as Gluten-Free. Gluten-Free Beers may contain malted grains that are gluten-free. NOTE"
34,All Origin Hybrid/Mixed Lagers or Ale,Non-Alcohol Malt Beverage,Original Gravity (°Plato) Varies with style ,,Apparent Extract/Final Gravity (°Plato) Varies with style ,,Alcohol by Weight (Volume) <0.4% abw (<0.5% abv) ,,Bitterness (IBU) Varies with style, ,Color SRM (EBC) Varies with style,, Varies with underlying style, Varies with underlying style, Varies with underlying style, Varies with underlying style, Varies with underlying style," Non-alcohol (N/A) malt beverages can emulate the character of any beer style defined within these guidelines but without alcohol (less than 0.5 percent abv). Due to their nature, non-alcohol malt beverages will have a proﬁle lacking the complexity and balance of ﬂavors that beers containing alcohol will display. N/A beers should be assessed with this is mind, and should not be given negative evaluations for reasons related to the absence of alcohol.", Varies with underlying style," For purposes of competition, brewers will be asked to verify that the alcohol content of entries in this category are <0.5% abv."
